,dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered,month
84,1667,40,642,2020-04-23,23040,722,5012,Apr
85,1408,59,484,2020-04-24,24448,781,5496,Apr
86,1835,44,442,2020-04-25,26283,825,5938,Apr
87,1607,56,585,2020-04-26,27890,881,6523,Apr
88,1568,58,580,2020-04-27,29458,939,7103,Apr
89,1902,69,636,2020-04-28,31360,1008,7739,Apr
90,1705,71,690,2020-04-29,33065,1079,8429,Apr
91,1801,75,630,2020-04-30,34866,1154,9059,Apr
92,2396,77,962,2020-05-01,37262,1231,10021,May
93,2564,92,831,2020-05-02,39826,1323,10852,May
94,2952,140,911,2020-05-03,42778,1463,11763,May
95,3656,103,1082,2020-05-04,46434,1566,12845,May
96,2971,128,1295,2020-05-05,49405,1694,14140,May
97,3602,91,1161,2020-05-06,53007,1785,15301,May
98,3344,104,1475,2020-05-07,56351,1889,16776,May
99,3339,97,1111,2020-05-08,59690,1986,17887,May
100,3175,115,1414,2020-05-09,62865,2101,19301,May
101,4311,112,1669,2020-05-10,67176,2213,20970,May
102,3592,81,1579,2020-05-11,70768,2294,22549,May
103,3562,120,1905,2020-05-12,74330,2414,24454,May
104,3726,137,1963,2020-05-13,78056,2551,26417,May
105,3991,97,1594,2020-05-14,82047,2648,28011,May
106,3808,104,2234,2020-05-15,85855,2752,30245,May
107,4794,120,4012,2020-05-16,90649,2872,34257,May
108,5049,152,2538,2020-05-17,95698,3024,36795,May
109,4628,131,2482,2020-05-18,100326,3155,39277,May
110,6154,146,3032,2020-05-19,106480,3301,42309,May
111,5547,132,3113,2020-05-20,112027,3433,45422,May
